state,move,pred_prob

rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,g8h6,1 TEST

state,move,pred_prob
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,g7g6,1
state,move,pred_prob
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,g7g6,1
state,move,pred_prob
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,g7g6,1
rnbqkbnr/pppppp1p/6p1/8/8/2N2N2/PPPPPPPP/R1BQKB1R b KQkq - 1 2,f7f6,1
state,move,pred_prob
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,g7g6,1
rnbqkbnr/pppppp1p/6p1/8/8/2N2N2/PPPPPPPP/R1BQKB1R b KQkq - 1 2,f7f6,1
rnbqkbnr/ppppp2p/5pp1/8/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 0 3,e8f7,1
state,move,pred_prob
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,g7g6,1
rnbqkbnr/pppppp1p/6p1/8/8/2N2N2/PPPPPPPP/R1BQKB1R b KQkq - 1 2,f7f6,1
rnbqkbnr/ppppp2p/5pp1/8/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 0 3,e8f7,1
rnbq1bnr/pppppk1p/5pp1/8/2B1P3/2N2N2/PPPP1PPP/R1BQK2R b KQ - 2 4,f7e8,1
state,move,pred_prob
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,g7g6,1
rnbqkbnr/pppppp1p/6p1/8/8/2N2N2/PPPPPPPP/R1BQKB1R b KQkq - 1 2,f7f6,1
rnbqkbnr/ppppp2p/5pp1/8/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 0 3,e8f7,1
rnbq1bnr/pppppk1p/5pp1/8/2B1P3/2N2N2/PPPP1PPP/R1BQK2R b KQ - 2 4,f7e8,1
rnbqkbnr/ppppp2p/5pp1/8/2B1P3/2N2N2/PPPP1PPP/R1BQ1RK1 b - - 4 5,c7c6,1
state,move,pred_prob
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,g7g6,1
rnbqkbnr/pppppp1p/6p1/8/8/2N2N2/PPPPPPPP/R1BQKB1R b KQkq - 1 2,f7f6,1
rnbqkbnr/ppppp2p/5pp1/8/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 0 3,e8f7,1
rnbq1bnr/pppppk1p/5pp1/8/2B1P3/2N2N2/PPPP1PPP/R1BQK2R b KQ - 2 4,f7e8,1
rnbqkbnr/ppppp2p/5pp1/8/2B1P3/2N2N2/PPPP1PPP/R1BQ1RK1 b - - 4 5,c7c6,1
rnbqkbnr/pp1pp2p/2p2pp1/8/2BPP3/2N2N2/PPP2PPP/R1BQ1RK1 b - - 0 6,b7b6,1
state,move,pred_prob
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,g7g6,1
rnbqkbnr/pppppp1p/6p1/8/8/2N2N2/PPPPPPPP/R1BQKB1R b KQkq - 1 2,f7f6,1
rnbqkbnr/ppppp2p/5pp1/8/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 0 3,e8f7,1
rnbq1bnr/pppppk1p/5pp1/8/2B1P3/2N2N2/PPPP1PPP/R1BQK2R b KQ - 2 4,f7e8,1
rnbqkbnr/ppppp2p/5pp1/8/2B1P3/2N2N2/PPPP1PPP/R1BQ1RK1 b - - 4 5,c7c6,1
rnbqkbnr/pp1pp2p/2p2pp1/8/2BPP3/2N2N2/PPP2PPP/R1BQ1RK1 b - - 0 6,b7b6,1
rnbqkbnr/p2pp2p/1pp2pp1/8/2BPPB2/2N2N2/PPP2PPP/R2Q1RK1 b - - 1 7,h7h5,1
state,move,pred_prob
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,g8h6,1
state,move,pred_prob
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,g8h6,1
state,move,pred_prob
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,e7e5,1
state,move,pred_prob
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,e7e5,1
rnbqkbnr/pppp1ppp/8/4N3/8/8/PPPPPPPP/RNBQKB1R b KQkq - 0 2,d7d5,1
state,move,pred_prob
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,e7e5,1
rnbqkbnr/pppp1ppp/8/4N3/8/8/PPPPPPPP/RNBQKB1R b KQkq - 0 2,d7d5,1
rnbqkbnr/ppp2ppp/8/3pN3/8/2N5/PPPPPPPP/R1BQKB1R b KQkq - 1 3,g8e7,1
state,move,pred_prob
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,e7e5,1
rnbqkbnr/pppp1ppp/8/4N3/8/8/PPPPPPPP/RNBQKB1R b KQkq - 0 2,d7d5,1
rnbqkbnr/ppp2ppp/8/3pN3/8/2N5/PPPPPPPP/R1BQKB1R b KQkq - 1 3,g8e7,1
rnbqkb1r/ppp1nppp/8/3pN3/8/2N1P3/PPPP1PPP/R1BQKB1R b KQkq - 0 4,h8g8,1
state,move,pred_prob
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,e7e5,1
rnbqkbnr/pppp1ppp/8/4N3/8/8/PPPPPPPP/RNBQKB1R b KQkq - 0 2,d7d5,1
rnbqkbnr/ppp2ppp/8/3pN3/8/2N5/PPPPPPPP/R1BQKB1R b KQkq - 1 3,g8e7,1
rnbqkb1r/ppp1nppp/8/3pN3/8/2N1P3/PPPP1PPP/R1BQKB1R b KQkq - 0 4,h8g8,1
rnbqkbr1/ppp1nppp/8/3pN2Q/8/2N1P3/PPPP1PPP/R1B1KB1R b KQq - 2 5,c8g4,1
state,move,pred_prob
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,e7e5,1
state,move,pred_prob
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,g2g3,1
state,move,pred_prob
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,g2g3,1
rnbqkb1r/pppppppp/5n2/8/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 1 2,f2f3,1
state,move,pred_prob
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,g2g3,1
rnbqkb1r/pppppppp/5n2/8/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 1 2,f2f3,1
r1bqkb1r/pppppppp/2n2n2/8/8/5PP1/PPPPP2P/RNBQKBNR w KQkq - 1 3,e1f2,1
